af:decimal:latn:normal:other:default:#,##0.###
ar:decimal:latn:short:many:1000000000:0 مليار
ar:decimal:latn:short:other:1000000000:0 مليار
ar:decimal:latn:short:zero:10000000000:00 مليار
ar:decimal:latn:short:one:10000000000:00 مليار
ar:decimal:latn:short:two:10000000000:00 مليار
ar:decimal:latn:short:few:10000000000:00 مليار
ar:decimal:latn:short:many:10000000000:00 مليار
ar:decimal:latn:short:other:10000000000:00 مليار
ar:decimal:latn:short:zero:100000000000:000 مليار
ar:decimal:latn:short:one:100000000000:000 مليار
ar:decimal:latn:short:two:100000000000:000 مليار
ar:decimal:latn:short:few:100000000000:000 مليار
ar:decimal:latn:short:many:100000000000:000 مليار
ar:decimal:latn:short:other:100000000000:000 مليار
ar:decimal:latn:short:zero:1000000000000:0 ترليون
ar:decimal:latn:short:one:1000000000000:0 ترليون
ar:decimal:latn:short:two:1000000000000:0 ترليون
ar:decimal:latn:short:few:1000000000000:0 ترليون
ar:decimal:latn:short:many:1000000000000:0 ترليون
ar:decimal:latn:short:other:1000000000000:0 ترليون
ar:decimal:latn:short:zero:10000000000000:00 ترليون
ar:decimal:latn:short:one:10000000000000:00 ترليون
ar:decimal:latn:short:two:10000000000000:00 ترليون
ar:decimal:latn:short:few:10000000000000:00 ترليون
ar:decimal:latn:short:many:10000000000000:00 ترليون
ar:decimal:latn:short:other:10000000000000:00 ترليون
ar:decimal:latn:short:zero:100000000000000:000 ترليون
ar:decimal:latn:short:one:100000000000000:000 ترليون
ar:decimal:latn:short:two:100000000000000:000 ترليون
ar:decimal:latn:short:few:100000000000000:000 ترليون
ar:decimal:latn:short:many:100000000000000:000 ترليون
ar:decimal:latn:short:other:100000000000000:000 ترليون
as:decimal:beng:normal:other:default:#,##,##0.###
as:decimal:latn:normal:other:default:#,##,##0.###
as:decimal:latn:long:one:1000:0 হাজাৰ
as:decimal:latn:long:other:1000:0 হাজাৰ
as:decimal:latn:long:one:10000:00 হাজাৰ
as:decimal:latn:long:other:10000:00 হাজাৰ
as:decimal:latn:long:one:100000:0 লাখ
as:decimal:latn:long:other:100000:0 লাখ
as:decimal:latn:long:one:1000000:0 নিযুত
as:decimal:latn:long:other:1000000:0 নিযুত
as:decimal:latn:long:one:10000000:00 নিযুত
as:decimal:latn:long:other:10000000:00 নিযুত
as:decimal:latn:long:one:100000000:000 নিযুত
as:decimal:latn:long:other:100000000:000 নিযুত
as:decimal:latn:long:one:1000000000:0 শত কোটি
as:decimal:latn:long:other:1000000000:0 শত কোটি
as:decimal:latn:long:one:10000000000:00 শত কোটি
as:decimal:latn:long:other:10000000000:00 শত কোটি
as:decimal:latn:long:one:100000000000:000 শত কোটি
as:decimal:latn:long:other:100000000000:000 শত কোটি
as:decimal:latn:long:one:1000000000000:0 শত পৰাৰ্দ্ধ
as:decimal:latn:long:other:1000000000000:0 শত পৰাৰ্দ্ধ
as:decimal:latn:long:one:10000000000000:00 শত পৰাৰ্দ্ধ
as:decimal:latn:long:other:10000000000000:00 শত পৰাৰ্দ্ধ
as:decimal:latn:long:one:100000000000000:000 শত পৰাৰ্দ্ধ
as:decimal:latn:long:other:100000000000000:000 শত পৰাৰ্দ্ধ
as:decimal:latn:short:one:1000:0 হাজাৰ
as:decimal:latn:short:other:1000:0 হাজাৰ
as:decimal:latn:short:one:10000:00 হাজাৰ
as:decimal:latn:short:other:10000:00 হাজাৰ
as:decimal:latn:short:one:100000:0 লাখ
as:decimal:latn:short:other:100000:0 লাখ
as:decimal:latn:short:one:1000000:0 নিযুত
as:decimal:latn:short:other:1000000:0 নিযুত
as:decimal:latn:short:one:10000000:00 নিযুত
as:decimal:latn:short:other:10000000:00 নিযুত
as:decimal:latn:short:one:100000000:000 নিঃ
as:decimal:latn:short:other:100000000:000 নিঃ
as:decimal:latn:short:one:1000000000:0 শঃ কোঃ
as:decimal:latn:short:other:1000000000:0 শঃ কোঃ
as:decimal:latn:short:one:10000000000:00 শঃ কোঃ
as:decimal:latn:short:other:10000000000:00 শঃ কোঃ
as:decimal:latn:short:one:100000000000:000 শঃ কঃ
as:decimal:latn:short:other:100000000000:000 শঃ কঃ
as:decimal:latn:short:one:1000000000000:0 শঃ পঃ
as:decimal:latn:short:other:1000000000000:0 শঃ পঃ
as:decimal:latn:short:one:10000000000000:00 শঃ পঃ
as:decimal:latn:short:other:10000000000000:00 শঃ পঃ
as:decimal:latn:short:one:100000000000000:000 শঃ পঃ
as:decimal:latn:short:other:100000000000000:000 শঃ পঃ
az:decimal:latn:normal:other:default:#,##0.###
az:decimal:latn:long:one:1000:0 min
az:decimal:latn:long:other:1000:0 min
az:decimal:latn:long:one:10000:00 min
az:decimal:latn:long:other:10000:00 min
az:decimal:latn:long:one:100000:000 min
az:decimal:latn:long:other:100000:000 min
az:decimal:latn:long:one:1000000:0 milyon
az:decimal:latn:long:other:1000000:0 milyon
az:decimal:latn:long:one:10000000:00 milyon
az:decimal:latn:long:other:10000000:00 milyon
az:decimal:latn:long:one:100000000:000 milyon
az:decimal:latn:long:other:100000000:000 milyon
az:decimal:latn:long:one:1000000000:0 milyard
az:decimal:latn:long:other:1000000000:0 milyard
az:decimal:latn:long:one:10000000000:00 milyard
az:decimal:latn:long:other:10000000000:00 milyard
az:decimal:latn:long:one:100000000000:000 milyard
az:decimal:latn:long:other:100000000000:000 milyard
az:decimal:latn:long:one:1000000000000:0 trilyon
az:decimal:latn:long:other:1000000000000:0 trilyon
az:decimal:latn:long:one:10000000000000:00 trilyon
az:decimal:latn:long:other:10000000000000:00 trilyon
az:decimal:latn:long:one:100000000000000:000 trilyon
az:decimal:latn:long:other:100000000000000:000 trilyon
az:decimal:latn:short:one:1000:0K
az:decimal:latn:short:other:1000:0K
az:decimal:latn:short:one:10000:00K
az:decimal:latn:short:other:10000:00K
az:decimal:latn:short:one:100000:000K
az:decimal:latn:short:other:100000:000K
az:decimal:latn:short:one:1000000:0M
az:decimal:latn:short:other:1000000:0M
az:decimal:latn:short:one:10000000:00M
az:decimal:latn:short:other:10000000:00M
az:decimal:latn:short:one:100000000:000M
az:decimal:latn:short:other:100000000:000M
az:decimal:latn:short:one:1000000000:0G
az:decimal:latn:short:other:1000000000:0G
az:decimal:latn:short:one:10000000000:00G
az:decimal:latn:short:other:10000000000:00G
az:decimal:latn:short:one:100000000000:000G
az:decimal:latn:short:other:100000000000:000G
az:decimal:latn:short:one:1000000000000:0T
az:decimal:latn:short:other:1000000000000:0T
az:decimal:latn:short:one:10000000000000:00T
az:decimal:latn:short:other:10000000000000:00T
az:decimal:latn:short:one:100000000000000:000T
az:decimal:latn:short:other:100000000000000:000T
be:decimal:latn:normal:other:default:#,##0.###
be:decimal:latn:long:one:1000:0 тысяча
be:decimal:latn:long:few:1000:0 тысячы
be:decimal:latn:long:many:1000:0 тысяч
be:decimal:latn:long:other:1000:0 тысячы
be:decimal:latn:long:one:10000:00 тысяча
be:decimal:latn:long:few:10000:00 тысячы
be:decimal:latn:long:many:10000:00 тысяч
be:decimal:latn:long:other:10000:00 тысячы
be:decimal:latn:long:one:100000:000 тысяча
be:decimal:latn:long:few:100000:000 тысячы
be:decimal:latn:long:many:100000:000 тысяч
be:decimal:latn:long:other:100000:000 тысячы
be:decimal:latn:long:one:1000000:0 мільён
be:decimal:latn:long:few:1000000:0 мільёны
be:decimal:latn:long:many:1000000:0 мільёнаў
be:decimal:latn:long:other:1000000:0 мільёна
be:decimal:latn:long:one:10000000:00 мільён
be:decimal:latn:long:few:10000000:00 мільёны
be:decimal:latn:long:many:10000000:00 мільёнаў
be:decimal:latn:long:other:10000000:00 мільёна
be:decimal:latn:long:one:100000000:000 мільён
be:decimal:latn:long:few:100000000:000 мільёны
be:decimal:latn:long:many:100000000:000 мільёнаў
be:decimal:latn:long:other:100000000:000 мільёна
be:decimal:latn:long:one:1000000000:0 мільярд
be:decimal:latn:long:few:1000000000:0 мільярды
be:decimal:latn:long:many:1000000000:0 мільярдаў
be:decimal:latn:long:other:1000000000:0 мільярда
be:decimal:latn:long:one:10000000000:00 мільярд
be:decimal:latn:long:few:10000000000:00 мільярды
be:decimal:latn:long:many:10000000000:00 мільярдаў
be:decimal:latn:long:other:10000000000:00 мільярда
be:decimal:latn:long:one:100000000000:000 мільярд
be:decimal:latn:long:few:100000000000:000 мільярды
be:decimal:latn:long:many:100000000000:000 мільярдаў
be:decimal:latn:long:other:100000000000:000 мільярда
be:decimal:latn:long:one:1000000000000:0 трыльён
be:decimal:latn:long:few:1000000000000:0 трыльёны
be:decimal:latn:long:many:1000000000000:0 трыльёнаў
be:decimal:latn:long:other:1000000000000:0 трыльёна
be:decimal:latn:long:one:10000000000000:00 трыльён
be:decimal:latn:long:few:10000000000000:00 трыльёны
be:decimal:latn:long:many:10000000000000:00 трыльёнаў
be:decimal:latn:long:other:10000000000000:00 трыльёна
be:decimal:latn:long:one:100000000000000:000 трыльён
be:decimal:latn:long:few:100000000000000:000 трыльёны
be:decimal:latn:long:many:100000000000000:000 трыльёнаў
be:decimal:latn:long:other:100000000000000:000 трыльёна
be:decimal:latn:short:one:1000:0 тыс'.'
be:decimal:latn:short:few:1000:0 тыс'.'
be:decimal:latn:short:many:1000:0 тыс'.'
be:decimal:latn:short:other:1000:0 тыс'.'
be:decimal:latn:short:one:10000:00 тыс'.'
be:decimal:latn:short:few:10000:00 тыс'.'
be:decimal:latn:short:many:10000:00 тыс'.'
be:decimal:latn:short:other:10000:00 тыс'.'
be:decimal:latn:short:one:100000:000 тыс'.'
be:decimal:latn:short:few:100000:000 тыс'.'
be:decimal:latn:short:many:100000:000 тыс'.'
be:decimal:latn:short:other:100000:000 тыс'.'
be:decimal:latn:short:one:1000000:0 млн
be:decimal:latn:short:few:1000000:0 млн
be:decimal:latn:short:many:1000000:0 млн
be:decimal:latn:short:other:1000000:0 млн
be:decimal:latn:short:one:10000000:00 млн
be:decimal:latn:short:few:10000000:00 млн
be:decimal:latn:short:many:10000000:00 млн
be:decimal:latn:short:other:10000000:00 млн
be:decimal:latn:short:one:100000000:000 млн
be:decimal:latn:short:few:100000000:000 млн
be:decimal:latn:short:many:100000000:000 млн
be:decimal:latn:short:other:100000000:000 млн
be:decimal:latn:short:one:1000000000:0 млрд
be:decimal:latn:short:few:1000000000:0 млрд
be:decimal:latn:short:many:1000000000:0 млрд
be:decimal:latn:short:other:1000000000:0 млрд
be:decimal:latn:short:one:10000000000:00 млрд
be:decimal:latn:short:few:10000000000:00 млрд
be:decimal:latn:short:many:10000000000:00 млрд
be:decimal:latn:short:other:10000000000:00 млрд
be:decimal:latn:short:one:100000000000:000 млрд
be:decimal:latn:short:few:100000000000:000 млрд
be:decimal:latn:short:many:100000000000:000 млрд
be:decimal:latn:short:other:100000000000:000 млрд
be:decimal:latn:short:one:1000000000000:0 трлн
be:decimal:latn:short:few:1000000000000:0 трлн
be:decimal:latn:short:many:1000000000000:0 трлн
be:decimal:latn:short:other:1000000000000:0 трлн
be:decimal:latn:short:one:10000000000000:00 трлн
be:decimal:latn:short:few:10000000000000:00 трлн
be:decimal:latn:short:many:10000000000000:00 трлн
be:decimal:latn:short:other:10000000000000:00 трлн
be:decimal:latn:short:one:100000000000000:000 трлн
be:decimal:latn:short:few:100000000000000:000 трлн
be:decimal:latn:short:many:100000000000000:000 трлн
be:decimal:latn:short:other:100000000000000:000 трлн
bg:decimal:latn:normal:other:default:#,##0.###
bg:decimal:latn:long:one:1000:0 хил'.'
bg:decimal:latn:long:other:1000:0 хиляди
bg:decimal:latn:long:one:10000:00 хиляди
bg:decimal:latn:long:other:10000:00 хиляди
bg:decimal:latn:long:one:100000:000 хиляди
bg:decimal:latn:long:other:100000:000 хиляди
bg:decimal:latn:long:one:1000000:0 милион
bg:decimal:latn:long:other:1000000:0 милиона
bg:decimal:latn:long:one:10000000:00 милиона
bg:decimal:latn:long:other:10000000:00 милиона
bg:decimal:latn:long:one:100000000:000 милиона
bg:decimal:latn:long:other:100000000:000 милиона
bg:decimal:latn:long:one:1000000000:0 милиард
bg:decimal:latn:long:other:1000000000:0 милиарда
bg:decimal:latn:long:one:10000000000:00 милиарда
bg:decimal:latn:long:other:10000000000:00 милиарда
bg:decimal:latn:long:one:100000000000:000 милиарда
bg:decimal:latn:long:other:100000000000:000 милиарда
bg:decimal:latn:long:one:1000000000000:0 трилион
bg:decimal:latn:long:other:1000000000000:0 трилиона
bg:decimal:latn:long:one:10000000000000:00 трилиона
bg:decimal:latn:long:other:10000000000000:00 трилиона
bg:decimal:latn:long:one:100000000000000:000 трилиона
bg:decimal:latn:long:other:100000000000000:000 трилиона
bg:decimal:latn:short:one:1000:0 хил'.'
bg:decimal:latn:short:other:1000:0 хил'.'
bg:decimal:latn:short:one:10000:00 хил'.'
bg:decimal:latn:short:other:10000:00 хил'.'
bg:decimal:latn:short:one:100000:000 хил'.'
bg:decimal:latn:short:other:100000:000 хил'.'
bg:decimal:latn:short:one:1000000:0 млн'.'
bg:decimal:latn:short:other:1000000:0 млн'.'
bg:decimal:latn:short:one:10000000:00 млн'.'
bg:decimal:latn:short:other:10000000:00 млн'.'
bg:decimal:latn:short:one:100000000:000 млн'.'
bg:decimal:latn:short:other:100000000:000 млн'.'
bg:decimal:latn:short:one:1000000000:0 млрд'.'
bg:decimal:latn:short:other:1000000000:0 млрд'.'
bg:decimal:latn:short:one:10000000000:00 млрд'.'
bg:decimal:latn:short:other:10000000000:00 млрд'.'
bg:decimal:latn:short:one:100000000000:000 млрд'.'
bg:decimal:latn:short:other:100000000000:000 млрд'.'
bg:decimal:latn:short:one:1000000000000:0 трлн'.'
bg:decimal:latn:short:other:1000000000000:0 трлн'.'
bg:decimal:latn:short:one:10000000000000:00 трлн'.'
bg:decimal:latn:short:other:10000000000000:00 трлн'.'
bg:decimal:latn:short:one:100000000000000:000 трлн'.'
bg:decimal:latn:short:other:100000000000000:000 трлн'.'
bn:decimal:beng:normal:other:default:#,##,##0.###
bn:decimal:latn:normal:other:default:#,##,##0.###
bn:decimal:latn:long:one:1000:0 হাজার
bn:decimal:latn:long:other:1000:0 হাজার
bn:decimal:latn:long:one:10000:00 হাজার
bn:decimal:latn:long:other:10000:00 হাজার
bn:decimal:latn:long:one:100000:0 লাখ
bn:decimal:latn:long:other:100000:0 লাখ
bn:decimal:latn:long:one:1000000:0 মিলিয়ন
bn:decimal:latn:long:other:1000000:0 মিলিয়ন
bn:decimal:latn:long:one:10000000:00 মিলিয়ন
